company_name,company_website,words_found_master_str,keyword_careers_found_and_clicked,keyword_benefits_found_on_page,keyword_category_found_on_page,match_health_and_wellness,match_work_from_home,match_learning_and_development
superconductive,https://www.superconductive.com,",[[[-keywords_careers_href_1: https://jobs.superconductive.com/[[[-keyword_category_found_on_page: professional development[[[-keyword_category_found_on_page: wellbeing[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
kevala,https://www.kevala.care,",[[[-keywords_careers_href_1: https://www.kevala.care/corporate-careers[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
databook,https://www.trydatabook.com,",[[[-keywords_careers_href_1: http://trydatabook.com/careers/[[[-keyword_benefits_found_on_page: reimbursement[[[-keyword_benefits_found_on_page: stipend[[[-master_str_benefit_html_found: - p>complimentary masterclass subscription, a $500 learning stipend, and 100% reimbursement for all work-related books.<p>complimentary masterclass subscription, a $500 learning stipend, and 100% reimbursement for all work-related books.<[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-scrape_benefit_category_proof: word: learning | phrase: master_str_benefit_html_found: - p>complimentary masterclass subscription, a $500 learning stipend, and 100% reimbursement for all work-related books.<p>complimentary masterclass subscription, a $500 learning stipend, and 100% reimbursement for all work-related books.<",True,True,True,False,False,True
terray_therapeutics,https://terraytx.com,",[[[-keywords_careers_href_1: https://terraytx.com/#jobs[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: internet[[[-keyword_category_found_on_page: monitor",True,False,True,False,False,False
uniphore,https://www.uniphore.com,",[[[-keywords_careers_href_1: https://www.uniphore.com/careers/[[[-keyword_category_found_on_page: fitness[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: internet[[[-keyword_category_found_on_page: monitor",True,False,True,False,False,False
chronicled,https://chronicled.com,",[[[-keywords_careers_href_1: https://www.chronicled.com/careers[[[-keyword_benefits_found_on_page: reimbursement[[[-keyword_benefits_found_on_page: stipend[[[-master_str_benefit_html_found: - img src=""https://global-uploads.webflow.com/5e387f889619c769a1b2ed3d/5e387f889619c76b02b2f0ec_icon-gym-membership.svg"" alt=""gym stipend"" class=""icon""><h5>gym stipend<p>get your body strong after flexing your brains all day. chronicled offers a gym stipend for all team members.<p>we offer reimbursements for conference attendance and learning experiences. we encourage peer learning opportunities and provide access to resources to help you grow your skills.<[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: gym[[[-scrape_benefit_category_proof: word: learning | phrase: master_str_benefit_html_found: - img src=""https://global-uploads.webflow.com/5e387f889619c769a1b2ed3d/5e387f889619c76b02b2f0ec_icon-gym-membership.svg"" alt=""gym stipend"" class=""icon""><h5>gym stipend<p>get your body strong after flexing your brains all day. chronicled offers a gym stipend for all team members.<p>we offer reimbursements for conference attendance and learning experiences. we encourage peer learning opportunities and provide access to resources to help you grow your skills.<[[[-scrape_benefit_category_proof: word: gym | phrase: master_str_benefit_html_found: - img src=""https://global-uploads.webflow.com/5e387f889619c769a1b2ed3d/5e387f889619c76b02b2f0ec_icon-gym-membership.svg"" alt=""gym stipend"" class=""icon""><h5>gym stipend<p>get your body strong after flexing your brains all day. chronicled offers a gym stipend for all team members.<p>we offer reimbursements for conference attendance and learning experiences. we encourage peer learning opportunities and provide access to resources to help you grow your skills.<",True,True,True,True,False,True
helium,https://www.helium.com,",",False,False,False,False,False,False
bloomreach,https://www.bloomreach.com,",[[[-keywords_careers_href_1: https://www.bloomreach.com/en/careers[[[-keyword_benefits_found_on_page: stipend[[[-master_str_benefit_html_found: - p class=""text-opacity-8 mb-0"">bloomreachers are granted an education stipend which renews each year. buy some books, take an nlp class, or join a networking group!<Bloomreachers are granted an education stipend which renews each year. Buy some books, take an NLP class, or join a networking group![[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: education[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: remote[[[-scrape_benefit_category_proof: word: education | phrase: master_str_benefit_html_found: - p class=""text-opacity-8 mb-0"">bloomreachers are granted an education stipend which renews each year. buy some books, take an nlp class, or join a networking group!<Bloomreachers are granted an education stipend which renews each year. Buy some books, take an NLP class, or join a networking group!",True,True,True,False,False,True
secureframe,https://secureframe.com,",[[[-keywords_careers_href_1: https://secureframe.com/careers[[[-keyword_category_found_on_page: education[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
promise,https://www.promise-pay.com,",[[[-keywords_careers_href_1: https://www.promise-pay.com/careers",True,False,False,False,False,False
fabric,https://fabric.inc,",[[[-keywords_careers_href_1: https://fabric.inc/careers/[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
wave_sports__entertainment,https://www.wave.tv,",[[[-keywords_careers_href_1: https://wavesportsandentertainment.com/careers",True,False,False,False,False,False
canary_technologies,https://www.canarytechnologies.com,",[[[-keywords_careers_href_1: https://www.canarytechnologies.com/jobs[[[-keyword_benefits_found_on_page: stipend[[[-master_str_benefit_html_found: - img src=""https://assets-global.website-files.com/5c6d1141d51c77692887d502/60e86fbcaa97d311b76b5a44_icon-travelstipend.svg"" alt=""digital authorizations by canary technologies"" class=""careerbenefiit--image""><p class=""careerbenefiit--text"">a travel stipend for when you stay at canary hotels<[[[-keyword_category_found_on_page: remote",True,True,True,False,False,False
daybreak_health,https://www.daybreakhealth.com,",[[[-keywords_careers_href_1: https://daybreakhealth.applytojob.com/apply/[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
emotive,https://emotive.io,",[[[-keywords_careers_href_1: https://emotive.io/careers[[[-keyword_category_found_on_page: fitness[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: internet[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
linear_labs,https://www.linearlabsinc.com,",[[[-keywords_careers_href_1: https://linearlabsinc.com/careers/[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
atomic_fi,https://www.atomic.financial,",[[[-keywords_careers_href_1: https://atomic.financial/careers/[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: internet[[[-keyword_category_found_on_page: monitor",True,False,True,False,False,False
autofi,https://www.autofi.com,",",False,False,False,False,False,False
customerio,https://customer.io,",[[[-keywords_careers_href_1: https://customer.io/careers[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: education[[[-keyword_category_found_on_page: internet[[[-keyword_category_found_on_page: wellness[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
propel,https://joinpropel.com,",[[[-keywords_careers_href_1: https://www.joinpropel.com/careers[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
genomenon,https://www.genomenon.com,",",False,False,False,False,False,False
milo,https://www.milocredit.com,",[[[-keywords_careers_href_1: https://www.milocredit.com/careers/[[[-keyword_category_found_on_page: wellness",True,False,True,False,False,False
roofstock,https://www.roofstock.com,",[[[-keywords_careers_href_1: https://www.roofstock.com/about-us/careers",True,False,False,False,False,False
marlette_funding,https://www.marlettefunding.com,",[[[-keywords_careers_href_1: https://www.bestegg.com/careers/[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
smithrx,https://www.smithrx.com,",",False,False,False,False,False,False
socotra,https://www.socotra.com,",[[[-keywords_careers_href_1: https://www.socotra.com/careers/[[[-keyword_benefits_found_on_page: reimbursement[[[-master_str_benefit_html_found: - img src=""https://1hjnjg39s6cz1puj37r73pz1-wpengine.netdna-ssl.com/wp-content/uploads/2021/01/competitive-health-reimbursement.png""><h4>competitive health reimbursement accounts (hra) for dental and vision<",True,True,False,False,False,False
cowbell_cyber,https://cowbell.insure,",[[[-keywords_careers_href_1: https://cowbell.insure/careers/",True,False,False,False,False,False
openloop,https://openloophealth.com,",[[[-keywords_careers_href_1: https://openloophealth.com/careers/[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
truera,https://truera.com,",[[[-keywords_careers_href_1: https://truera.com/truera-best-machine-learning-jobs/[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: education[[[-keyword_category_found_on_page: monitor",True,False,True,False,False,False
bambee,https://www.bambee.com,",[[[-keywords_careers_href_1: https://www.bambee.com/careers[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
webflow,https://www.webflow.com,",[[[-keywords_careers_href_1: https://webflow.com/careers[[[-keyword_benefits_found_on_page: reimbursement[[[-keyword_benefits_found_on_page: stipend[[[-master_str_benefit_html_found: - p>we cover 100% of a platinum-level, $0 deductible health plan, including dental, vision, and life, for you and your dependents. we’ll also provide you with a health reimbursement account (hra) with a built-in, yearly stipend to help with things like prescriptions and copays.<p>we cover 100% of a platinum-level, $0 deductible health plan, including dental, vision, and life, for you and your dependents. we’ll also provide you with a health reimbursement account (hra) with a built-in, yearly stipend to help with things like prescriptions and copays.<h3 class=""accordion-title h4"">health and wellness stipend<h3 class=""accordion-title h4"">remote work reimbursements<p>you’ll get up to $1,000 a year in skill development reimbursements. use it to get even better at what you do, or learn something brand new! we also cover career coaching if you want it.<[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: skill development[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: education[[[-keyword_category_found_on_page: internet[[[-keyword_category_found_on_page: wellness[[[-keyword_category_found_on_page: remote[[[-scrape_benefit_category_proof: word: skill development | phrase: master_str_benefit_html_found: - p>we cover 100% of a platinum-level, $0 deductible health plan, including dental, vision, and life, for you and your dependents. we’ll also provide you with a health reimbursement account (hra) with a built-in, yearly stipend to help with things like prescriptions and copays.<p>we cover 100% of a platinum-level, $0 deductible health plan, including dental, vision, and life, for you and your dependents. we’ll also provide you with a health reimbursement account (hra) with a built-in, yearly stipend to help with things like prescriptions and copays.<h3 class=""accordion-title h4"">health and wellness stipend<h3 class=""accordion-title h4"">remote work reimbursements<p>you’ll get up to $1,000 a year in skill development reimbursements. use it to get even better at what you do, or learn something brand new! we also cover career coaching if you want it.<[[[-scrape_benefit_category_proof: word: wellness | phrase: master_str_benefit_html_found: - p>we cover 100% of a platinum-level, $0 deductible health plan, including dental, vision, and life, for you and your dependents. we’ll also provide you with a health reimbursement account (hra) with a built-in, yearly stipend to help with things like prescriptions and copays.<p>we cover 100% of a platinum-level, $0 deductible health plan, including dental, vision, and life, for you and your dependents. we’ll also provide you with a health reimbursement account (hra) with a built-in, yearly stipend to help with things like prescriptions and copays.<h3 class=""accordion-title h4"">health and wellness stipend<h3 class=""accordion-title h4"">remote work reimbursements<p>you’ll get up to $1,000 a year in skill development reimbursements. use it to get even better at what you do, or learn something brand new! we also cover career coaching if you want it.<[[[-scrape_benefit_category_proof: word: remote | phrase: master_str_benefit_html_found: - p>we cover 100% of a platinum-level, $0 deductible health plan, including dental, vision, and life, for you and your dependents. we’ll also provide you with a health reimbursement account (hra) with a built-in, yearly stipend to help with things like prescriptions and copays.<p>we cover 100% of a platinum-level, $0 deductible health plan, including dental, vision, and life, for you and your dependents. we’ll also provide you with a health reimbursement account (hra) with a built-in, yearly stipend to help with things like prescriptions and copays.<h3 class=""accordion-title h4"">health and wellness stipend<h3 class=""accordion-title h4"">remote work reimbursements<p>you’ll get up to $1,000 a year in skill development reimbursements. use it to get even better at what you do, or learn something brand new! we also cover career coaching if you want it.<",True,True,True,True,True,True
deepcell,https://deepcell.com,",[[[-keywords_careers_href_1: https://deepcell.com/careers/[[[-keyword_benefits_found_on_page: reimbursement[[[-master_str_benefit_html_found: - h3 class=""image_text_grid__item_title"">gym reimbursement <p>we offer gym reimbursements for our employees. <[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: gym[[[-scrape_benefit_category_proof: word: gym | phrase: master_str_benefit_html_found: - h3 class=""image_text_grid__item_title"">gym reimbursement <p>we offer gym reimbursements for our employees. <",True,True,True,True,False,False
chargeafter,https://chargeafter.com,",[[[-keywords_careers_href_1: https://chargeafter.com/about-us/#careers",True,False,False,False,False,False
beep,https://ridebeep.com,",[[[-keywords_careers_href_1: https://ridebeep.com/careers/",True,False,False,False,False,False
celsius_therapeutics,https://www.celsiustx.com,",[[[-keywords_careers_href_1: https://celsiustx.com/careers/[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
clarify_health_solutions,https://www.clarifyhealth.com,",[[[-keywords_careers_href_1: https://clarifyhealth.com/about-us/careers/[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: monitor",True,False,True,False,False,False
dataworld,https://data.world,",",False,False,False,False,False,False
remote,https://www.remote.com,",[[[-keywords_careers_href_1: https://remote.com/careers[[[-keyword_benefits_found_on_page: allowance[[[-keyword_benefits_found_on_page: stipend[[[-master_str_benefit_html_found: - img alt=""co-working allowance"" src=""data:image/gif;base64,r0lgodlhaqabaiaaaaaaap///yh5baeaaaaalaaaaaabaaeaaaibraa7"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%""><img alt=""co-working allowance"" srcset=""https://all-remote-content.cdn.prismic.io/all-remote-content/23496eae-fdeb-447c-8f75-58d530a577ff_home.svg 1x, https://all-remote-content.cdn.prismic.io/all-remote-content/23496eae-fdeb-447c-8f75-58d530a577ff_home.svg 2x"" src=""https://all-remote-content.cdn.prismic.io/all-remote-content/23496eae-fdeb-447c-8f75-58d530a577ff_home.svg"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" loading=""lazy""/><div class=""benefitsperksslice__benefittitle-sc-1wreora-3 hpsmwm"">co-working allowance<img alt=""celebratory allowances"" src=""data:image/gif;base64,r0lgodlhaqabaiaaaaaaap///yh5baeaaaaalaaaaaabaaeaaaibraa7"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%""><img alt=""celebratory allowances"" srcset=""https://all-remote-content.cdn.prismic.io/all-remote-content/0735512e-dea5-4588-9196-9bd81b0d7c1f_smile.svg 1x, https://all-remote-content.cdn.prismic.io/all-remote-content/0735512e-dea5-4588-9196-9bd81b0d7c1f_smile.svg 2x"" src=""https://all-remote-content.cdn.prismic.io/all-remote-content/0735512e-dea5-4588-9196-9bd81b0d7c1f_smile.svg"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" loading=""lazy""/><<img alt=""Co-working allowance"" srcSet=""https://all-remote-content.cdn.prismic.io/all-remote-content/23496eae-fdeb-447c-8f75-58d530a577ff_home.svg 1x, https://all-remote-content.cdn.prismic.io/all-remote-content/23496eae-fdeb-447c-8f75-58d530a577ff_home.svg 2x"" src=""https://all-remote-content.cdn.prismic.io/all-remote-content/23496eae-fdeb-447c-8f75-58d530a577ff_home.svg"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" loading=""lazy""/>- [[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: education[[[-keyword_category_found_on_page: internet[[[-keyword_category_found_on_page: work from home[[[-keyword_category_found_on_page: gym[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: wellness[[[-keyword_category_found_on_page: wellbeing[[[-keyword_category_found_on_page: remote[[[-scrape_benefit_category_proof: word: remote | phrase: master_str_benefit_html_found: - img alt=""co-working allowance"" src=""data:image/gif;base64,r0lgodlhaqabaiaaaaaaap///yh5baeaaaaalaaaaaabaaeaaaibraa7"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%""><img alt=""co-working allowance"" srcset=""https://all-remote-content.cdn.prismic.io/all-remote-content/23496eae-fdeb-447c-8f75-58d530a577ff_home.svg 1x, https://all-remote-content.cdn.prismic.io/all-remote-content/23496eae-fdeb-447c-8f75-58d530a577ff_home.svg 2x"" src=""https://all-remote-content.cdn.prismic.io/all-remote-content/23496eae-fdeb-447c-8f75-58d530a577ff_home.svg"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" loading=""lazy""/><div class=""benefitsperksslice__benefittitle-sc-1wreora-3 hpsmwm"">co-working allowance<img alt=""celebratory allowances"" src=""data:image/gif;base64,r0lgodlhaqabaiaaaaaaap///yh5baeaaaaalaaaaaabaaeaaaibraa7"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%""><img alt=""celebratory allowances"" srcset=""https://all-remote-content.cdn.prismic.io/all-remote-content/0735512e-dea5-4588-9196-9bd81b0d7c1f_smile.svg 1x, https://all-remote-content.cdn.prismic.io/all-remote-content/0735512e-dea5-4588-9196-9bd81b0d7c1f_smile.svg 2x"" src=""https://all-remote-content.cdn.prismic.io/all-remote-content/0735512e-dea5-4588-9196-9bd81b0d7c1f_smile.svg"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" loading=""lazy""/><<img alt=""Co-working allowance"" srcSet=""https://all-remote-content.cdn.prismic.io/all-remote-content/23496eae-fdeb-447c-8f75-58d530a577ff_home.svg 1x, https://all-remote-content.cdn.prismic.io/all-remote-content/23496eae-fdeb-447c-8f75-58d530a577ff_home.svg 2x"" src=""https://all-remote-content.cdn.prismic.io/all-remote-content/23496eae-fdeb-447c-8f75-58d530a577ff_home.svg"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" loading=""lazy""/>- ",True,True,True,False,True,False
doceree,https://doceree.com,",",False,False,False,False,False,False
eleanor_health,https://eleanorhealth.com,",[[[-keywords_careers_href_1: https://www.eleanorhealth.com/careers[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
fetch_rewards,https://www.fetchrewards.com,",[[[-keywords_careers_href_1: https://www.fetchrewards.com/careers[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
diligent_robotics,https://diligentrobots.com,",",False,False,False,False,False,False
genies,https://genies.com,",[[[-keywords_careers_href_1: https://genies.com/careers",True,False,False,False,False,False
reveleer,https://www.reveleer.com,",",False,False,False,False,False,False
anuvia_plant_nutrients,https://www.anuviaplantnutrients.com,",[[[-keywords_careers_href_1: https://www.anuviaplantnutrients.com/careers[[[-keyword_category_found_on_page: learning",True,False,True,False,False,False
qualifiedcom,https://www.qualified.com,",[[[-keywords_careers_href_1: https://www.qualified.com/careers[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: education[[[-keyword_category_found_on_page: internet[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: wfh",True,False,True,False,False,False
concert_health,https://www.concerthealth.io,",[[[-keywords_careers_href_1: https://www.concerthealth.io/careers[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: work from home[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
smartx_technology_solutions,https://www.smartxadvisory.com,",[[[-keywords_careers_href_1: https://www.smartxadvisory.com/careers/[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
pachama,https://www.pachama.com,",[[[-keywords_careers_href_1: https://pachama.com/careers[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
sirionlabs,https://sirionlabs.com,",[[[-keywords_careers_href_1: https://www.sirionlabs.com/careers/[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
